,Title,Review Text,aspect-opinion
5510,Larger than life!,"Larger than life in both size and personality. this one runs pretty big however the detailing in the fabric itself and embroidered collar balance that out. it's even more gorgeous in person! 
for reference, i'm 5'7"", 125lb, straight up and down and i usually go for a 4 or 6 / small. i got a 4, but could have easily fit into the 2 or even the 0.",['one-pretty big']
5513,I am in love.,"Based on others' reviews, i knew i needed to try this beauty on to be sure of my size. as others mentioned, it runs 1-2 sizes large. but, unlike others, i don't feel i need a belt at the waist. i am 5'2"" 140# 34d and with my body style (super short and not super slim in the waist but also busty) this is the perfect boho fit and the perfect drape!!!  and the design and quality are superb to boot!!!","['others- large', 'design-also perfect']"
5514,So cute!,"As the other reviewers stated, it does run large, i sized down 1 size and it's perfect. great dress to wear so many ways.",['reviewers- other']
5515,"Great dress, but runs big","I agree with the other reviews - great dress. i got a ton of compliments on it, but i had to take it to a tailor to get it taken in. not a fan of belts with dresses, but definitely wanted it so had quite a bit taken in. not sure why this seems to be a reoccurring issue with retailer. i was bummed i had to spend money to get the dress to look even somewhat like the photo.",[]
5518,Adorable!,"This dress is loose, unique, and super cute! you'll get noticed in this dress! i ordered down a size.",['dress- loose']
5521,Into the west,"Totally out of my style range but am totally enamored by this tent dress/shirt/coat thing! ok, so yes it's very very tenty, but fits on my shoulders (size down 1x or 2x if you're narrow shouldered) and i use one of my leather belts to gather the material and make myself a nice western fit & flare! like the model shots, this looks great with a tee and skinnies. if you have tried the marvelous silk santee swing dress, the escalante has the same amount of fabric that reviewer either love or hate. i","['escalante- marvelous', 'reviewer- same']"
5678,Surprisingly comfy and flattering,"I ordered the xxs p and it is almost big, so between true to size and big. it is both flattering and stretchy. the waist comes in nicely, the sleeves are not annoying, and the sparkle add to the lbd in my opinion. length was right above the knee.just. i am 115 lbs, 30dd, 26.5 in waist for reference...","['sleeves-nicely annoying', 'length- right']"
5858,Gorgeous dress,"This is a beautiful dress. it's a great weight, unique pattern, and has gorgeous colors. it's fairly forgiving because of the heavy fabric but may run small on bottom. i am a 10 or 12 in pants, 10 dress right now and i bought the 12. i am 5'8"" and 175 lbs, and 36c - also in the last stretch of a weight loss journey so if that helps anyone choose sizing... also i have to buy long or tall pants and this dress was not too short and did not show my smooth wear underneath. i love it and bought it at",['dress-also tall']
5860,Easy summer dress,"Comfortable and loose fitting- perfect for summer weekends when you just want an easy dress to throw on. can go from home to running errands to going out for lunch. good color, too!",['fitting- loose']
5867,This is gorgeous,"I think this fits to true to size. i am 5""2 and 107 lbs. i always wear a xs. it was a tiny bit tight in the bust if i wore a big padded bra (34b). if i wore a normal very little padding bra, it did not pull much across the bust.",[]
5874,Cute,Dress is actually very cute - i like it better in person than online. the color is a very pretty deep denim blue color. it is cut very roomy/swingy. length is a bit too long in the back for my taste but still like the way it flows. i am very slight of frame and on me there is a lot of extra material but nothing a good tailor can't fix in a jiffy. perfect for a summer day/bbq or casual party.,"['Dress-very cute', 'color-pretty deep', 'lot-very slight', 'tailor- good']"
5882,Gorgeous,"This is truly a lovely dress. the colors are beautiful and i love the contrasting but complimentary fabrics which add interest to an already elegant dress. the material is substantial without being stiff so that it flows gracefully and it flatters the figure.
in my opinion if fits true to size, i'm 32b, 5' and 103lbs and i got it in a 2p which is the size i normally get in dresses. it is slightly more loose than other retailer dresses in the same size but it still follows your curves without being","['colors- beautiful', 'material- substantial']"
5885,Gorgeous shift!,"I love it. perfect, body hugging, just right length and great fabric colors. this shift fits just above knee and follows every curve. it is, however, unforgiving-there is no room in this to cover bumps or bulges; it is sleek and so figure-flattering. i am 140 lbs, 5'5 tall and 34d and it fits perfectly. one more pound and it wouldn't have zipped! i got a size 6 (my usual)!but too tight had to size up to 8. if you are on the fence, go up a size. i can't, however, imagine wearing this sleeveless a",['room-however unforgiving']
5887,Versatile dress!,Easy to take this dress from casual to dressy! super comfortable and cute!,[]
5889,Not for the curvy gal,I love this dress but when i put it on i was aghast! the chest was tight and the body was voluminous!! added the pounds which no wants! best left to the waify girls.,"['chest- aghast', 'body- tight']"
5894,Easy breezy,"Love this dress! it is tighter in the chest area than maybe expected, but not unwearable, though i am smaller chested. it will be great for hot summer days as it has a light lining.",[]
5906,Maeve stunner,"This dress is gorgeous, well made, lined, and tts. i get compliments each time i wear it and find it unique yet classy and appropriate for work. unlike some of the maeve tops i have purchased this year, it does not run big, and if you are banking on a little stretch, i would order the next size up. you won't be disappointed!",['dress- gorgeous']
5907,Love this dress,"This dress is fabulous with attention to most details. 5'4"" 103 lbs the 00 fits perfectly. overall fit is excellent, sleek, but not form fitting so very appropriate for work. length is also great, another plus.for work, many times the dresses are just a tad short, but this is great. arm holes are also great, not overly long as they often are. very nicely lined, substantial fabric. the only lack of attention to detail is they did not include the bra strap holders. why can't more dresses be made t","['dress- fabulous', 'fit- overall', 'length-also great', 'dresses- many', 'holes-also great', 'lack- only']"
5914,"Pretty, casual dress.","It's relatively light material; even if you layered a sweater over this i can't see it being good for winter. i'm in california so it's fine :) length is great - i'm 5""4 and it hits just at the knee. i'm a true size 2/small and this fit great, even though i have a curvier figure. pretty classic dress.",['length-so fine']
5918,Love it!,"This dress is everything everyone said it was in the reviews. so cute and beautifully made. fully lined.
i felt it ran a bit small as i had to return it for the next size up, more so in the bust area. but the fit and length was perfect in the size 6. 5""10, 125lbs. i will say that all the raving reviews made me purchase
the dress without hesitation and i'm sure glad i did!","['fit- perfect', 'reviews- sure']"
5920,"Well made dress, fit could be tricky","The patters/colors on this dress are much more stunning in person. it is lined and feels very well made. the pockets don't add bulk to the hip area as many times they do, which is great. the fit can be tricky if you have any semblance of curves. if you can, try this one on in a store before buying. for reference: i am 5'7"", have broad shoulders, am pear shaped (i have hips and a good sized rear end), 34b bust, weigh 145 lbs., and generally wear a size 6 or 8 for tops and bottoms. the size 8 fit","['patters-more stunning', 'pockets-as many', 'fit- tricky']"
5921,This dress makes me happy,I love this dress. it fits great on curvy girls. the armholes are a bit big (i had to get it altered) but its great. it had two pockets which are great. good length and comfortable fabric.,['armholes- big']
6082,"Warm, cozy, timeless, and sexy","It's not often you can find a dress that is warm, cozy, timeless, and sexy at the same time, but this one is it. the material is thick but clings to the body in all the right places. i normally wear an xs or s, and in this i took an xs. sleeves are nice and long. your shoulders are exposed as much as you want them to be, depending on how low you fold over the collar piece. i chose to tack mine down in place, so i'm not always adjusting it.

i wore this dress with black heeled over-the-knee boots","['one-often same', 'material- thick', 'sleeves- nice']"
6083,Simple and well structured,"This initially caught my eye online and then i immediately tried it on when our store received it. the dress is simple and well structured with a tight sweater weave that almost has a"" hold u in"" feel. therefore, it fits like a glove on!!",['dress- simple']
6084,Runs big,Love the dress. i usually wear a small and will be exchanging it for an x-small.,[]
6087,Awesome sweater dress!,"Lovely body hugging dress. hits just below the knee. great with boots as shown, or with heels. very soft material and the peppery color is really pretty. i can see myself wearing this to work and out at night. this is a winner!",['color-very peppery']
6089,Great casual dress,"I went back and bought this dress after a sales associate told me that it was super cute on but didn't look like much on the hanger. i'm 5'3"" and curvy and the s fit great. it will look great with boots or booties. it's very comfortable and nice quality material.",['associate-super cute']
6091,I will live in this!,"Soft, comfy, great fit. this is the perfect cozy item for fall and winter. looks really cute with the sleeves rolled or cuffed slightly. the fabric is patchworked with linen and a terry/jersey material. i'm usually a medium and the medium fit great. slimming lines and does a great job of being swingy/flared, without that tent look.",[]
6093,Soft material,Great dress. looking forward to wearing it with tights. fits great.,[]
6105,Much better in person,"This is such a fun dress. the linen and cotton mixture is very unique and comfortable. for reference, i am 5'3"" and about 110 pounds. the regular xs hits me exactly the way it is shown in the photo. the color is a true oatmeal which is so nice for fall and even though i am fair with strawberry blonde hair, it doesn't wash me out. the sleeves are a little long but i rolled them once and it is perfect. i love this dress and it will look great with booties or boots for the fall.","['mixture-very unique', 'xs- regular', 'color- true', 'sleeves- little']"
6118,Dresses differ,"I tried this on in a different retailer a couple of weeks ago... ....tried on a different one last night..same size and it looked baggy, sleeves way too long, etc.  let me add that i am usually a xs/s petite but some regular extra smalls will work also.  this was a xs reg.  even the sa could see that one looked like it fit smaller ( i showed her the photo in my phone) while this one swallowed me.  bottom line, you will need to try this one on as the sizes seem to vary.","['smalls-usually extra', 'sa-even smaller', 'sizes- bottom']"
6124,Looks like reconstructed old sweatshirts!,"I truly cannot understand the great reviews on this dress!  i purchased in both a sp and a mp.  i am 5'2"" 120#.  the mp fit perfectly.  i definitely wouldn't keep it though because it looks like someone sewed a bunch of old sweatshirts together.  it's not super soft, coarse on the inside, and feels old.  the back is longer than the front, it just looks like something my daughter would make in sewing class out of scraps.  even with leggings and great boots, it looks worn.",[]
6133,Cute and eclectic,"I love this dress.   i believe the picture on-line doesn't show the unique pattern and design.   it does have an interesting design.    add a long vest, statement necklace, and boots - you will be quite fashionable.",['picture- unique']
6278,Not amazing,"Not a huge fan of this dress, will be returning it.
fits too big and not flattering.
fabric is thin and shows any lumps and bumps you may have.
color is not as pretty in person as in the photo - the photo looks like a nice rust color but the dress is actually a boring brownish olive.","['fabric- thin', 'color-pretty person', 'photo- nice', 'dress-actually boring']"
6418,Too itchy too metallic,"This pretty bohemian dress is murdered by the horrible rayon fabric with metallic thread that feels like little needles pricking my skin. i have a pretty high itch tolerance as wool doesn't bother me too much. i'm not sure how most of the reviewers are tolerating this dress, even with the slip, which doesn't cover the arms and makes me want to tear this dress off. i decided to keep and wear as an autumn/winter dress in which i will remove the slip, wear a deep scoop neck long sleeve top undernea","['needles-pretty little', 'wool-pretty high']"
6552,Great transitional dress!,"After reading the reviews, stating that this dress was a tent and only fit for the tall and small chested, i kind of had a battle of wills in my head over ordering it. it is very ""me,"" but me is also 5'5, curvy, and possessing a 36g bust. i had to post a review, because i received the dress today, and i actually love it. i ordered a 16 and i love the fit. i know it's flowy, but on me, it's far from tent-like. i think it's great now as a pre-fall piece with some sandals and a jean jacket, and as",['dress-only tall']
6558,"Very beautiful, but material is scratchy and stiff","I really want to love this dress, the style and colors are so nice and easy. i like the loose flowy feel of the dress. it runs a tad large, but that is part of the style. what bothers me is that the fabric and embroidery is very stiff and itchy, to the point where it is uncomfortable on my arms and body even though it is a loose fitting dress. also, it has lining which is nice for modesty, but with the stiff/itchy factor mixed with lining, it feels a bit cumbersome. i haven't decided if i will k","['style-so nice', 'fabric-very stiff']"
6559,Nice styling but shapeless,"Thought this would be a great dress for warm days, but alas it fit like a sack. love floreat and have a few of their well made dresses. shame this did nothing for my curves. ordered an 8, usually wear a 10 and it was a tad narrow in the shoulders. if you can sport a loose swingy shape, this is a great dress with nice detailing, but sadly the shape did not work for me.",['shape- nice']
6566,"Pretty dress, seems well made","When i received this dress i was surprised by the weight of the fabric. it's not as light and gauzy as the photos appear, and it is fully lined. it's more substantial in a good way. also i had thought it would be more of a straight cut but it's definitely a swing which i prefer. with the lining, it does stand out a bit from your body so it's not a clingy look at all. i like it a lot but i don't think it fits the way you would expect from the photo. it's roomy, i could probably have sized down. i",['photos-as gauzy']
6567,Another winner from floreat,"I found this dress to be a perfect flowy fit for the super-hot tail end of summer. this definitely is not a form fitting dress, but i bought my regular size medium (size 6) and think it fits perfectly. i have a pretty small chest and find that sometimes these a-line dresses look better if you don't have a lot on top making them ""tent out"". just my opinion. personally do not think it has an abundance of fabric. in fact, it is a lot less roomy than a lot of others in this cut due to the embroidery",['dresses-sometimes a-line']
6569,Confirmed: a tent,"I should have listened to previous reviewers. but the dress looks so good on the model in the two dimensional pictures. when it arrived in the mail, i realized this is a mistake. it has no shape, material is poofy and feels cheap. it is going back.","['dress-so good', 'material- poofy']"
6571,Love this dress!,"I usually wear a 4, but ordered a 2 & 0 because of the previous reviews. the 2 fit perfectly. the 0 was too snug across the shoulders. both sizes were the same length and width except the shoulders.the material is beautiful and seems very well made. i am thrilled with this purchase.it looks exactly like the photo.","['sizes- same', 'material- beautiful']"
6573,Does not hang well,"I am typically a small/6 in dresses, but i should have gone with the other reviewers and sized down. it had no shape, but hung like a paper sack. the armholes fit perfectly though, if i had sized down they may have been too tight. i am 5'6"" 140 lb
i will return, too bad because it is a pretty dress!",['armholes-too tight']
6576,Beautiful but not flattering,"Beautifully made, gorgeous colors. i wanted to love this, but it just wasn't flattering - too ""a"" shaped, not enough drape to flatter.",[]
6578,Very unique!,Beautiful dress! wanted something different. even bought the hat ! very flattering.,[]
6583,Huge!,The dress fits me like a tent and i looked pregnant. maybe this style isn't for me and i even sized down. otherwise the quality was lovely with an embroidered area on the top and the fabric style mixing was great and very trendy. it didn't work for me for the right person this is a very well made dress.,"['dress- pregnant', 'quality-otherwise lovely', 'mixing- great']"
6586,Pretty dress but bad fit,I bought this dress on super sale and it was such a great deal. sadly it's going back although i sized down i still feel like the dress is shapeless and tent like. no wonder why the store had so many still at the price i paid. the details on the dress are pretty and it's high quality. just wish the fit was better.,"['dress-still shapeless', 'store-so many', 'details- high', 'fit-just better']"
6588,Beautiful but very large.,"I usually wear size 4 for dress, but this is the first time ever i have to go down to size 0, and it fits perfectly. well made, maybe a bit stiff around armholes, nothing major. i love the length as i don't like to show my knees. great color combinations, although this supposed to be a summer dress, it looks great for fall, just need to add a jacket, a pair of boots and i'm good to go, feeling pretty!",[]
6593,Heavy tenty swingy,"Not a summer dress even though the photos make it seem like it's for hot weather. the weight and layers and synthetic fabric is very substantial. it is a bit scratchy where there is maroon fabric, but not intolerable. i love this dress but it's beyond a-line, it's a tent. i'm keeping and will wear for fall with a long sweater to flatten the fullness that's seen in profile. for my body type (top heavy, thick shoulders/back/upper arms), i chose the smaller of my size range. definitely size down if","['photos-even hot', 'weight- synthetic', 'fabric- maroon', ""i'm- long""]"
6595,Beautiful dress,This dress drapes very well and is flattering to many different body shapes. the colors give it the flexibility to wear from summer into fall. gorgeously designed!,['dress-well flattering']
6597,It's a tent!,"As much as i buy from retailer, this is my first review. the pictures do not accurately show how large this dress is in person. i wanted something that was a bit flowy, but this was a reminder of little house on the prairie. the most unflattering dress ever and since it's only available online, i'm not interested enough to try a smaller size.","['pictures-accurately large', 'dress-most unflattering']"
6598,Great casual and dressy!,"This dress is fantastic.  i can't help but think the other gals who gave this a low rating were perhaps more petite and didn't size down.  i am 5'8 and usually a 10-12.  purchased the 8 and it is great!  fits wonderful and looks so nice for the price.  i like clothing that doesn't touch me and this does a great job, without looking sloppy.","['dress- fantastic', 'gals- other']"
6721,Super comfortable,"I read the online reviews that the dress ran large so ordered size 6 and 8. i'm normally an 8 or 10, and the 6 fit perfectly. dress hangs beautifully and lining is really soft. appears that it will wrinkle somewhat easily but i am keeping it anyway since it's so beautiful. the bell sleeves are really cute! i highly recommend the dress.","['dress- online', 'lining-really soft', 'sleeves-really cute']"
6724,Feeling pink!,Beautiful flowing feminine dress. runs large; size down. hot pink color. well made.,[]
6728,Pretty in pink,"I love this dress. i am usually a size 4, but ordered this in size 0 and it fits perfect! great for any season, and can dress up or dress down. the pink is the perfect shade - i feel like i'm elle woods!",['pink- perfect']
6730,Love this dress,I just received this dress tried it on. i totally fell in love with it . the pink is just beautiful.it's a little big so i will definitely will be exchanging it for a size 14 . you would absolutely love this dress.,['pink-just beautiful']
6733,Great dress,This is a beautiful dress! the photos do not do it justice - the pink is gorgeous! it's also very comfortable but runs large. i'm usually a 6 or an 8 but purchased a 4.,"['photos- beautiful', 'pink- gorgeous']"
6737,Wrinkled!,The dress arrived wrinkled so i washed it and pressed it. it looked beautiful until i sat down. the entire dress was wrinkled and it looked terrible all day. can't wear this again.,"['dress- wrinkled', 'dress- entire']"
6742,Pretty in pink,I love this dress! easy breezy flowy comfortable & pink! fits a true medium ...would recommend to anyone. makes me a little flirty!,[]
6744,Perfect postpartum dress!,"I bought this dress for a couple fall weddings to hide my postpartum belly. it was only available in a size 8 -- which is my typical size. i was nervous based on the reviews it would still be too big, but it fits perfectly. i am 5'10"", so i assume my frame can handle the drappiness well!",[]
6746,"Retailer, make this dress in other colors, patterns","This dress is awesome! love everything about it, except the colors! the pink is ridiculous, it is like pepto on crack, there's no way, outside of being a bridesmaid, i would ever wear that shade of pink. nauseating. i would order the turquoise, but i don't think i want that either. plus the pink was the only color offered in the store, even though i saw the dress offered in black online at one time. why wouldn't you stock the black in-store???? i can no longer get it.

you need to offer this d","['dress- awesome', 'pink- ridiculous', 'pink- only']"
6748,Fun and flowy,"Fun dress to wear, i received numerous compliments on the color and design of the dress. very flowy and comfortable, love it. i wish i had bought a size smaller than i normally wea because it runs large, but an overall great dress",[]
6750,Comfortably chic,"I have a casual oceanside wedding to attend and thought this easy, yet elegant dress would be a good purchase. i initially bought two sizes: 10 and 12. i'm typically a 12 in more structured dresses (i.e., more rigid fabric with zippered entry) but because this dress was flowy and slipped on over the head, i also ordered the 10. i'm 5'5"", broader shoulders, 36d, with smaller hips that are typically one size smaller than my top half. the 12 ended up being comically huge and fit like a tent. the 10","['dress- elegant', 'dress-more rigid']"
6753,Perfect dress,"This dress is a great color, fabric, and the style is very flattering! i'm wearing to a wedding but it will be great for many events this fall! dressy enough for a cocktail party but could also wear to church!","['dress- great', 'style-very flattering']"
6756,Horrible,"I cannot imagine this dress working in any size. i am a small, thin and average height woman (usually a 25/26 in pants, a size 32c bust, and 5'6"" tall). this dress was huge. i sized down to a 2 ( i am always a 4 in dresses) and this dress was still big... i do not know if i could size down to a 0 though as the shoulders seemed to fit right. it was ginormous. i got it for a wedding in two months and i will be 3 months pregnant, it still wouldn't work unless i was 9 months pregnant and carrying tr","['dress- huge', 'dress-still big']"
6757,Love this dress!!!,"Saw this in store today and had to have it. the pink is a really bright pink - definitely more of a hot pink than it appears in the image online. i am a solid 10, and i bought this in an 8, so it definitely runs a size large. highly recommend!",['pink-really bright']
6773,Awesome prettie in pink,"Beautiful dress, just like wearing a night shirt!!  great flattering fit for most figures!! wonderful color love the bell sleeves.",[]
6774,Better than i imagined,I hesitated to purchase this dress because of the color but it is a beautiful deep pink that i think would work with all skin tones. i ordered a size down as recommended by other reviewers and the dress fits perfectly. the feel is amazing - incredibly comfortable and not too short when you lean over!,"['dress-down other', 'feel- amazing']"
6780,Bad lining,"This dress looks like it would be so much fun to wear. when i tried it on, i was swimming in it. i do have to admit that the movement of the dress (had it fit right) would have been very fun. i was also really disappointed with the lining. there is dark green piping along the neckline, which bled through the pink of the dress and make it look like you dropped something on your dress. returning it :(","['dress-so much', 'movement-very fun', 'piping- green']"
6784,So pretty!,"Like many of the other reviewers, i thought this ran a little big. i am a 5'5"", 110lb pear and xs was perfect - i also ordered the small to be sure. it is not quite as close to the body as the picture. the color is gorgeous and saturated. it hits me mid thigh in a good way. the fabric is crepe on the outside and silky on the inside and it has a beautiful, high quality drapey-ness. it is unlined but not see through. it arrived wrinkled and sad, but a warm dry iron really brought out how gorgeous","['xs- perfect', 'color- gorgeous', 'fabric- crepe', 'iron- dry']"
6967,Beachy and boho!,"I love the weight of the material; sometimes crinkled gauze looks cheap; this does not. the lace trim is more 2-tone than the photo suggests, but that is not negative, and the color of the dress is more salmon than peach, again, not a negative. the length is as it is on the model, just below the knee. i wore it to what turned out to be surprise party for me at the beach! i paired it with huge silver hoops and silver flipflops. i felt special, stylish and comfortable. it was a good dress for some","['gauze-sometimes cheap', 'trim-more tone', 'photo- negative']"
7071,"The perfect ""blue"" period dress","I am in love with this dress. the colors are amazing but also is the fabric. it is soft and supple. i am a curvy girl and this dress does all justice to my bust, waist, and hips. this is truly an amazing dress. you can dress it up or dress it down and the best part it is professional enough for a causal office look.","['colors- amazing', 'dress- curvy', 'part- best']"
7083,Love it!,"Love this dress! adorable, comfortable and figure flattering! cant go wrong with this purchase!",[]
7088,Adorable,So cute and a must have. took my normal p6 and fits perfect! love it,[]
7090,Love this dress,"I have been watching this dress online since it arrived, finally decided to order it online. it is as great in person as it looks on the website. the fabric, cut and finishing of the dress are high quality and my usual size 10 fits great. it falls about 3"" above the knee on my 5'5"" frame which is a little short for the office, but i could do it on a friday with a cardigan. the fit is comfortable and flattering for a gal with broad shoulders and small curves. when i tried it on friends raved. thi","['fabric- high', 'size- usual', 'fit- comfortable']"
7179,Dress for the younger girls,I tried this dress in my usual size 4. the slip underneath was a big snug but the dress was fine. i sort of looked like a little girl in this dress. it is very pretty but more for the younger girls~not for the over 50 group.,"['slip-underneath big', 'dress- fine']"
7180,Absolutely beautiful,"This dress is really lovely in person. the fit was perfect and the length not too short. for reference, i'm very busty at 38f and the dress actually fit! (i'm an xl usually, and the fit was tts) the only thing i'm not crazy about is the slip, it's more of a flesh toned color. i'll probably swap it out for a white one please make more like these, retailer!","['dress-really lovely', 'fit- perfect', 'length-too short', 'dress-very busty', 'fit-usually only', 'thing- crazy']"
7181,Way too much material,"First let me say i love the fabric and the pattern of the blue dress. but the fit is extremely loose. they could take out an entire 12 inches of material and it would still be a swing dress. the photo of the back of the model, where the blue dress goes in to her waist is not at all accurate. if it was, i would love this dress. the photo of the model wearing the other color is how the dress actually hangs - straight down from the underarms and then bigger as it goes toward the hemline. i am 5'7""","['fit-extremely loose', 'photo- blue', 'dress- accurate', 'photo- other', 'dress-then bigger']"
7183,Love,This is such a beautiful dress. fell in love with it at first sight. it is very pretty. can be dressed up or down .. comes with an attached slip that is a tad longer than the dress and it shows on the bottom.. darling dress that will get lots of use this summer.,[]
7185,Super,As in super comfortable and a joy to wear. i saw it online and then went to the store to try it on. the moment i put it on i knew it was for me. i missed out on getting it in the other color. i hope you get more in other colors!,[]
7193,Better than expected,"After seeing an influx of this dress in my instagram feed i decided to go ahead and purchase it last weekend. i'm usually leery with the length of swing dresses, for instance the endora swing dress (paper crown) is a touch too short for my taste in petite sizing. either way, i decided to go ahead and purchase this dress in petite considering no previous reviews mentioned the length of the dress to be an issue. 

typically, i take a size 0 or xs in retailer clothing. i ordered a size 0 petite and",['dress-usually leery']
7197,Such a pretty vintage style dress,"I just bought this pretty dress at my local retailer after finally deciding to go in the store to try it on. once i saw it on display in the window in the lilac, i already knew i was going to try that one on and take it home though i really love both colors and prints. the dress fit me tts (sz 6, 34d-27-35) and looks absolutely adorable on! it's super soft, light weight but not so much that you don't feel it's worth the price and the design reminds me of the retailer i love. it has a wonderful vinta","['dress-absolutely adorable', 'design-so worth']"
7199,Pretty but not for tall ladies,Loved the style and color/design but this dress was simply too short in the front. the slip was also slightly tight over hips. i wish this was longer!,"['dress-too short', 'slip-slightly tight']"
7200,Beautiful spring dress!,"Tried this is my normal 4, and it fits exactly as shown. i can see how this could give issues to someone with any curves because the lining is definitely more fitted than the loose overlay, especially in the bust and hips. i found the quality to be very nice, length was slightly above the knee on my 5'7"" frame so it feels work-appropriate. my only wish is that the colors/pattern could transition better to multiple seasons. it definitely feels very springy and not much else.","['length-very nice', 'wish- only', 'colors- better']"
7202,Flowly,This dress is really nice and lightweight. the slip is snug so the outer part floats nicely. but..it adds a bit too much volume if you have a lot of curves. it disguises in a way but also is a bit less flattering. i really wanted to like it because it's so breezy but a tad matronly on me.,"['dress-really nice', 'slip- snug', 'part- outer']"
7208,"Soft, feminine dress, yes!","Lovely, flowing dress w a boho vibe. pretty design and fabric. agree w comments re stiff slip fabric but will keep it anyway. should be a great summer dress",['comments- stiff']
7217,Wanted a pink dress,"Pale pink is a hard color to find these days. very happy with this purchase,
this dress is sweet, and a perfect transition piece from summer to fall in socal.
i have a number of maeve dresses and they are all oversized, so the 2 fit as expected. i'm normally a 4 in every other brand.
it can easily be worn with flats or wedges, or i imagine booties as the weather cools.","['pink- Pale', 'dress-very happy']"
7218,Beautiful dress,I saw this dress in the lilac at the store and loved it immediately! the picture on the website does not do it justice.,[]
7219,Love love love,"Beautiful and very versatile dress. extremely forgiving for post baby bodies, while stylish and classy.",[]
7224,"Light and airy, i feel like a fairy","I love this dress. it is the kind of dress that i dream about. the feel is young and carefree. typically i love swing dresses on the tall thin models pictured but when i try them on i simply look frumpy. this dress is an exception. i have the lilac version and the fabric color and pattern enhance the boho pixie fairy aesthetic. for reference i am 5'4"" 122 lbs...average build a little busty 34dd. only the 6 was in stock so that is the size i ordered even though i wanted to try the 4. the 6 has en","['feel- young', 'dress- exception']"
7227,Love it,"This dress is adorable! it fits loose and is not at all fitted, with the exception of the under cami lining. the picture showing front and back is being pulled to fit. :/ it fits like the model wearing the purple. my local store was out of my normal size so i sized up which really made no difference at all. the biggest difference would be the under cami. the dress is flowy and airy. one of the best casual dresses retailer has had in a long time. obviously, the blue is sold out till may. this can b","['dress- adorable', 'store- local', 'difference- biggest', 'dress- flowy']"
7229,Not for tall hourglass body types,"I was bummed about this dress! i saw it online and loved both colors. i tried it on in the store, and it did not work for me. i am 5'8"" tall with an hourglass figure, and it was too shot and too loose. it looked like a babydoll nightgown. i wanted to love it, but i think this one only works on smaller frames. onto the next...",['one-only smaller']
7233,Lilac and coral,"I am quite happy with this dress! i was wondering what the colors would look like in person, and i'm happy to report that the skirt is a nice mellow orange-coral. beautiful detail in the patterns used here, and i always like a dress that has great color-play close up and far away. for reference, i am a size 16, full figured, with a 40 c bust, and the size 16 was just right for me. sometimes with maeve dresses you can size down, but there is no stretch to the dress, or the slip, so that is someth","['colors-quite happy', 'skirt- happy', 'size- full', 'stretch-so someth']"
7234,Favorite dress,"I absolutely love this dress!! i bought it in the blue , the brown and the pink colors.. it is incredibly flattering. the one interesting thing that i found is that the pink dress seemed to run smaller than the other colors. so happy with the style and i have gotten so many compliments when i where them :)","['thing- interesting', 'dress- pink']"
7237,Absolutely gorgeous,"It is a beautiful dress, light and delicate. i got my usual xsmall ( 5'4"" 34c, 134 lbs). it comes with a slip and the slip is a bit fitted. it worked for me, but i can see this being an issue. it can easily be resolved with any other ivory or nude slip. it is worth it. very cute dress.",[]
7243,Pretty dress,"Pretty, easy-to-wear dress. loose fitting. i am typically a size 4, size 4 fit, but i might have been able to go to a size 2 if i wanted it to be more fitted at the chest/arms.",[]
7251,Pretty,"To be honest, i bought this dress as a ride-along so i would meet a free shipping minimum in order to purchase the dress i really wanted. i wound up keeping this dress and returning the one i originally wanted. it's pretty, flowy, feminine. i even like the uneven-ish hemline, which normally doesn't appeal to me. it runs a bit large--you might want to size down. i got it in the black and tan...even though it's got short sleeves and is sort of summery, it will make a good transition piece to fall",[]
7253,"Beautiful and soft, comfortable","I was so excited to receive this dress! it even has embroidered loops on the hem of the slip underneath which was such a cute detail. it's very pretty on. that being said, i ordered a size 4 which fit me perfectly (150 lbs) but ladies, i do not mean this in any way but in my personal opinion, my arms are out of shape. not toned and flabby. the sleeves on this dress will not do you any justice. it will make your arms look worse because of the shape of the sleeve. so keep that in consideration if",['arms-perfectly personal']
7254,Perfectly feminine,"This dress makes you feel like a little kid. it certainly helps that it is an excellent twirling dress, for sure. i wish it had a little more definition to the waist--it just barely works for larger chested women, definitely on the line from being a little too baby doll shapeless. the colors are so beautiful and the fabric so light that it's hard to pass this one up. it's just too beautiful. i recommend it, but it's probably not for everyone.","['dress- little', 'colors-so beautiful', 'fabric-so light']"
7260,The best dress ever.,"This dress is absolute perfection. the quality of the dress is great, the fit is comfortable and it's such a fun summer dress. the slip underneath fits perfectly the outer layer is delicate yet durable.","['dress- absolute', 'quality- great', 'fit- comfortable', 'slip-perfectly outer', 'layer- delicate']"
7261,Beautiful but binding slip,I tried this dress on at my local store and was very disappointed in the slip portion of this dress. there is no give with the slip so even though the dress portion is quite flowy the slip prevents anyone with a large chest or hips to wear this dress.,"['portion-quite flowy', 'slip- large']"
7262,Beautiful feminine dress!!,"I saw this dress in the store in the coral color and tried it on. i am 5'4"", 34b, and slender to athletic build. i wear the size 2 in this dress. as far as sizes go for retailer, i would say it is tts. the slip fits like it should and the dress is flowing. it is not see through as were some of the other silk dresses this summer. it feels so comfortable and makes me feel pretty. it is a flowing dress and meant to fit that way. i waited for it to go on sale and the day it did i purchased it!!!",[]
